channel,category,count
Tuhaf Mevzular,Education,2
Habertürk Shorts,Science & Technology,2
Universe,Science & Technology,2
Uçan Efsaneler,People & Blogs,1
Shoot for Love,Sports,1
Selman Türkoğlu,Entertainment,1
Ptract,Gaming,1
Sound Healing Vikinga,People & Blogs,1
Ali Beyazay,Music,1
Halil İbrahim Atasoy,People & Blogs,1
The Dog Video,Pets & Animals,1
Stray_kitzy,People & Blogs,1
Altyazı Türkçe,News & Politics,2
Bezzy Shorts,Comedy,1
Anka Editing,Comedy,1
Colonel Cam,Gaming,1
Orkun Işıtmak,People & Blogs,3
Matty Jordan - Antarctica,People & Blogs,1
WeRising,Entertainment,1
Speedroute,Gaming,2
Bonome,Film & Animation,1
Topun Arkasında,People & Blogs,1
Mahsun Karaca,Comedy,5
Hardcore Italians,Entertainment,1
Keelvin,Education,1
Arda Alpur,Entertainment,2
DvaGamesTv,Gaming,1
Bekir EKE,People & Blogs,1
Wizzy - Майнкрафт ,People & Blogs,1
De Marke,Sports,2
Vaipts,Gaming,1
Çakal Lezzetler,Howto & Style,1
Sinemori,Film & Animation,9
Sosyal Reis,Entertainment,3
S2Gkeremg,People & Blogs,1
EliteVon,People & Blogs,1
Lahik usta,People & Blogs,2
playstore laytime,People & Blogs,1
History Now,People & Blogs,1
Bi' Video,People & Blogs,1
Bi' Video,Howto & Style,1
Slicx7.    Fan,People & Blogs,1
Komik Anlar,Comedy,1
Max Klymenko,Education,3
Psycandy Underground,Film & Animation,1
Sadece ENES,News & Politics,1
Sadece ENES,People & Blogs,2
Patilerin İç Dünyası,Comedy,1
SparkEdit,Nonprofits & Activism,1
FactsFC,People & Blogs,2
Destiny,Gaming,1
SpeedUniverse,Entertainment,1
Teller 13 Taylor,Music,1
Asmongold Shorts,People & Blogs,1
KuneriTV,Film & Animation,2
Tyler Csatari,Entertainment,1
Arc Earth,Pets & Animals,1
Mr. BlindLife Abi,People & Blogs,1
Taraftar Sports,Sports,2
Chaby Han,Comedy,2
Universe Lair,Science & Technology,1
