video_id,category,subcategory,watched_on,channel,duration
YCaUgbjihDw,Education,exam_prep,2022-05-25T20:51:53.118Z,Eyüp B. Matematik Geometri,0.5688888888888889
lExyk1dqII8,Education,exam_prep,2022-05-06T16:27:15.668Z,Eyüp B. Matematik Geometri,0.20277777777777778
Yq_wnpCCJ18,Education,other_education,2022-06-16T09:21:59.892Z,Eyüp B. Matematik Geometri,0.24805555555555556
B170wuT12H0,Education,exam_prep,2022-06-16T09:14:00.878Z,Eyüp B. Matematik Geometri,0.1827777777777778
3k2ELg8kcj4,Education,exam_prep,2022-06-14T19:40:48.466Z,Eyüp B. Matematik Geometri,0.28694444444444445
FHjQ7-neeIw,Education,exam_prep,2022-06-03T21:11:19.039Z,Kimya Dersleri - Sinan İHTİYAROĞLU,0.48305555555555557
nJcTHaoHvgQ,Education,exam_prep,2022-06-05T16:20:21.225Z,Eyüp B. Matematik Geometri,0.06638888888888889
cMdIk0Z0rio,Music,other,2021-02-11T05:00:38.729Z,Lucio Hortas,0.019444444444444445
ZF2Qu8t9QYA,Gaming,streaming,2020-06-08T10:50:09.437Z,Dost Kayaoğlu,0.2525
1RnoLTWsikc,Education,finance_market,2022-06-16T07:38:01.053Z,Yektug Mat YKS DGS ALES KPSS,0.9636111111111111
EmWHznV5Kpk,Gaming,strategy,2022-06-16T07:21:47.789Z,FeedBackGaming,0.24388888888888888
fFoP9QLXuPs,Gaming,strategy,2022-06-15T19:13:06.951Z,Bokoen1,0.17333333333333334
l8Nv07dyWDw,Education,exam_prep,2022-06-16T07:02:17.179Z,Ertan Sinan Şahin,1.5919444444444444
z3lywsuZgMs,Education,exam_prep,2022-06-15T14:25:08.381Z,Ertan Sinan Şahin,0.0038888888888888888
9_gkpYORQLU,Music,other,2020-08-04T18:01:41.677Z,Polyphia,0.06
cnY_L9Vd3Co,Music,other,2021-12-01T07:07:16.056Z,Metallica,0.10111111111111111
jg_iqTJltTg,Gaming,strategy,2021-02-02T03:59:15.957Z,Bokoen1,0.16805555555555557
32v-XYa8gA0,Entertainment,comedy,2022-06-15T16:19:32.952Z,TommyKayClips,0.009166666666666667
k9uLp7VPhw4,Entertainment,comedy,2022-06-15T16:17:57.844Z,TommyKayClips,0.008611111111111111
WweXrV9Ng3U,Entertainment,comedy,2022-06-15T16:17:15.468Z,TommyKayClips,0.010555555555555556
higLjHM6ULk,Gaming,strategy,2022-06-15T15:13:26.991Z,TommyKay,0.2683333333333333
RSfAcIyCkKk,Entertainment,comedy,2022-06-14T21:31:51.249Z,TommyKayClips,0.01138888888888889
T4Zg1i4IDd4,Entertainment,comedy,2022-06-14T21:31:18.296Z,TommyKayClips,0.008611111111111111
P5-gCxb4vnk,Entertainment,comedy,2022-06-14T21:30:44.332Z,TommyKayClips,0.009166666666666667
kRHM4Vj0ORY,Education,exam_prep,2022-04-13T15:03:08.514Z,3D Yayınları,0.1786111111111111
22kxSXPD0sE,Education,exam_prep,2021-06-11T06:01:55.941Z,Eyüp B. Matematik Geometri,0.30833333333333335
YdBRV0BvxIA,Education,exam_prep,2022-06-14T19:28:44.390Z,Eyüp B. Matematik Geometri,0.13
GNgJo--lPr8,Entertainment,other_entertainment,2022-06-14T19:23:46.697Z,Barıştıran Matematik - Barış Kahvecioğlu,1.0886111111111112
AUoisDX8cFM,Education,exam_prep,2022-06-14T19:22:58.164Z,Eyüp B. Matematik Geometri,0.24333333333333335
